price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,neighbourhood_group_Brooklyn,neighbourhood_group_Manhattan,neighbourhood_group_Queens,neighbourhood_group_Staten Island,room_type_Private room,room_type_Shared room
250,29,3,1,34,True,False,False,False,False,False
199,3,10,1,280,True,False,False,False,False,False
140,2,4,1,0,True,False,False,False,False,False
140,2,1,1,1,False,False,True,False,True,False
115,3,124,2,170,True,False,False,False,False,False
160,3,11,1,188,True,False,False,False,False,False
195,4,240,1,214,True,False,False,False,False,False
195,3,30,1,248,False,True,False,False,False,False
80,3,200,4,262,True,False,False,False,True,False
44,8,27,5,280,True,False,False,False,True,False
156,4,79,1,307,False,True,False,False,True,False
85,15,9,1,339,True,False,False,False,True,False
125,3,155,1,1,True,False,False,False,True,False
115,15,4,1,269,True,False,False,False,False,False
69,2,34,1,10,False,True,False,False,True,False
225,45,134,1,312,False,True,False,False,False,False
125,6,27,1,189,True,False,False,False,False,False
219,4,126,2,290,False,True,False,False,False,False
475,3,23,1,230,True,False,False,False,False,False
99,1,234,2,164,False,True,False,False,False,False
69,4,202,2,53,True,False,False,False,True,False
79,30,28,1,126,False,False,True,False,True,False
135,2,309,2,3,True,False,False,False,False,False
250,3,14,1,189,True,False,False,False,True,False
250,3,4,1,365,False,True,False,False,False,False
250,2,80,1,0,True,False,False,False,False,False
80,3,2,1,0,False,True,False,False,False,False
70,2,294,3,336,True,False,False,False,True,False
165,2,150,3,342,True,False,False,False,False,False
70,2,166,1,312,False,False,False,True,True,False
50,2,47,1,37,True,False,False,False,True,False
40,1,219,3,353,False,False,False,False,True,False
150,2,193,1,177,True,False,False,False,False,False
125,1,84,4,310,False,True,False,False,True,False
196,3,114,1,0,False,True,False,False,False,False
110,2,213,2,321,True,False,False,False,True,False
170,3,86,1,246,False,True,False,False,False,False
165,3,80,3,231,False,True,False,False,False,False
150,26,38,1,225,False,True,False,False,False,False
100,2,18,1,0,False,True,False,False,False,False
65,2,206,2,0,True,False,False,False,True,False
350,8,10,5,365,False,False,True,False,False,False
99,4,122,2,233,False,True,False,False,True,False
200,4,33,1,1,True,False,False,False,False,False
150,5,52,1,18,True,False,False,False,False,False
90,3,126,4,343,True,False,False,False,True,False
120,3,51,3,250,True,False,False,False,True,False
75,3,199,1,326,False,True,False,False,True,False
175,26,30,1,364,True,False,False,False,False,False
125,3,3,1,0,False,True,False,False,False,False
275,1,41,1,299,False,True,False,False,False,False
299,2,109,1,207,False,True,False,False,False,False
135,5,151,3,162,True,False,False,False,False,False
130,14,0,2,0,False,True,False,False,True,False
83,1,285,1,7,False,True,False,False,True,False
123,1,375,1,328,False,True,False,False,True,False
